Filename,Time (s),ML model left angle,ML model right angle
('/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/5.bmp', '/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/10.bmp', '/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/96-0.bmp'),0.0,105.490944,104.673645,
('/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/5.bmp', '/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/10.bmp', '/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/96-0.bmp'),0.0,105.490944,104.673645,
('/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/5.bmp', '/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/10.bmp', '/Users/torili/Desktop/OpenDrop_OP/experimental_data_set/96-0.bmp'),0.0,105.490944,104.673645,
